;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;27988359.492451273;0.0;4644701.3421612;3029439.4792054263;22036596.155398063
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;27936843.166886628;0.0;4663692.398048165;3029439.4792054263;22037455.579724487
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;27895416.806213047;0.0;4902596.556726207;3029439.4792054263;22038315.00405088
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;27739123.915721357;0.0;5028742.8515026;3029439.4792054263;22232974.61398527
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;27591914.80124365;0.0;5082675.655514006;3029439.4792054263;22244576.842391945
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;27456850.410255793;0.0;5065879.571868938;3029439.4792054263;22269500.147858154
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;27426087.45376574;0.0;5189856.006795352;3029439.4792054263;22451005.415991034
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;25896587.503101896;0.0;5259852.777637579;3029439.4792054263;2960264.2436153735
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;25015963.585876353;0.0;4872743.5143819;3029439.4792054263;2962842.516594638
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;23689928.69802875;0.0;4623876.424516998;3029439.4792054263;2964991.0774106886
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;21982365.459893644;0.0;4629818.235852638;3029439.4792054263;2965850.501737113
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;20292617.29424311;0.0;4357853.78195894;3029439.4792054263;2965420.7895739027
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;19078848.393494803;0.0;4014028.5547311446;3029439.4792054263;2895305.4641870908
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;18295470.66175283;0.0;4121786.5225683833;3029439.4792054263;2896594.6006767214
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;17984015.9132929;0.0;3982292.8895295537;3029439.4792054263;2895305.4641870908
