;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;32293427.63128772;0.0;8115373.607855373;3029439.4792054263;23798008.753955256
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;33034316.031622987;0.0;8211065.376390072;3029439.4792054263;23798936.873139318
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;33488256.913836055;0.0;8115373.607855373;3029439.4792054263;23799864.992323384
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;34492206.51597422;0.0;8446162.130754746;3029439.4792054263;24010083.987516318
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;35312809.83451964;0.0;8630095.927223392;3029439.4792054263;24022613.59650131
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;35996628.949552625;0.0;8720716.603535287;3029439.4792054263;24049529.052839484
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;36686831.61265798;0.0;8765695.845630886;3029439.4792054263;24245542.26329426
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;35834621.22132234;0.0;8854999.825572647;3029439.4792054263;3196881.8544747187
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;36347725.14425128;0.0;8840157.899338478;3029439.4792054263;3199666.2120269416
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;36204930.655294016;0.0;8701496.332331305;3029439.4792054263;3201986.509987127
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;33053986.31963732;0.0;7628347.666710797;3029439.4792054263;3202914.629171203
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;29484136.578419857;0.0;5872717.6534213545;3029439.4792054263;3202450.569579168
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;26672104.579938643;0.0;6564290.479718812;3029439.4792054263;3126730.838837853
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;24086600.66742936;0.0;6744311.758130646;3029439.4792054263;3128123.017613965
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;21354848.33580472;0.0;6346638.750188525;3029439.4792054263;3126730.838837853
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;18261666.417994123;0.0;5931428.616588797;3029439.4792054263;3127658.9580219286
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;16146674.396339519;0.0;5659528.028015351;3029439.4792054263;3127194.8984298925
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;23094131.331281643;0.0;5785825.2002683375;3029439.4792054263;3051011.108096544
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;25273653.411518443;0.0;6048696.037152899;3029439.4792054263;2883305.5327560166
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;26494322.740575537;0.0;6322506.1335898;3029439.4792054263;2882377.4135719403
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;27652654.931021605;0.0;6782199.6031341255;3029439.4792054263;2877272.7580595324
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;28158592.627733994;0.0;6732002.749368038;3029439.4792054263;2867991.5662187864
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;29185649.04820523;0.0;7078888.614499382;3029439.4792054263;2807663.8192539336
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;29853683.444553707;0.0;7176102.523374372;3029439.4792054263;2587699.572628246
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;31086685.195720743;0.0;7462829.119301532;3029439.4792054263;2588627.691812319
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;30549358.843105186;0.0;6681588.739637125;3029439.4792054263;2589555.8109963927
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;30862330.63641866;0.0;6630956.343053775;3029439.4792054263;2590483.9301804677
