;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;32924609.867287334;0.0;8595633.202475732;3029439.4792054263;23889267.64666456
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;33289375.715553854;0.0;8102515.372650726;3029439.4792054263;23890199.324933346
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;33512316.121670183;0.0;7722245.858661128;3029439.4792054263;23891131.003202125
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;33508766.2364556;0.0;7492743.521018628;3029439.4792054263;24102156.131081432
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;33654304.524392486;0.0;7399596.159390919;3029439.4792054263;24114733.787709992
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;33902913.17805512;0.0;7399596.159390919;3029439.4792054263;24141752.457504712
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;34226357.617273085;0.0;7443831.241866512;3029439.4792054263;24338517.325324077
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;32915249.003918193;0.0;7397288.430861837;3029439.4792054263;3209141.0271297977
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;32863026.42466423;0.0;7289500.347111325;3029439.4792054263;3211936.061936146
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;32320350.827471778;0.0;7142697.322439475;3029439.4792054263;3214265.2576081064
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;31552612.950209968;0.0;6902909.712735092;3029439.4792054263;3215196.935876888
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;30038624.241910316;0.0;6394317.775795879;3029439.4792054263;3214731.0967424954
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;28833573.323163033;0.0;5754156.5499030035;3029439.4792054263;3138721.0014225706
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;27995901.741613563;0.0;5382068.105548033;3029439.4792054263;3140118.518825744
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;27200687.35096697;0.0;5347502.79638906;3029439.4792054263;3138721.0014225706
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;27157295.402035523;0.0;5483996.827968303;3029439.4792054263;3139652.679691354
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;27280307.670692716;0.0;5588004.84050113;3029439.4792054263;3139186.8405569633
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;28454157.091165975;0.0;5793159.811025559;3029439.4792054263;3062710.906102646
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;28689981.5157452;0.0;5955069.429030803;3029439.4792054263;2894362.225481128
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;28752736.778586566;0.0;6105084.373859346;3029439.4792054263;2893430.5472123446
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;28945576.89247496;0.0;6257802.930555018;3029439.4792054263;2888306.3167340388
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;29089151.386782777;0.0;6355488.895197725;3029439.4792054263;2878989.5340462094
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;29350436.717173927;0.0;6386266.509584473;3029439.4792054263;2818430.446575329
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;29460914.05795664;0.0;6321539.919869271;3029439.4792054263;2597622.696873805
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;29963257.753406934;0.0;6364086.734382289;3029439.4792054263;2598554.3751425855
